тоегд1,node,LINE_ID,X,Y,geometry
46,511011,Red-S,181469.726,665603.5416,POINT (181469.72598957104 665603.5415673262)
47,511011,Red2-N,181469.726,665603.5416,POINT (181469.72598957104 665603.5415673262)
48,511011,Red2-S,181469.726,665603.5416,POINT (181469.72598957104 665603.5415673262)
49,511011,Shut-N,181469.726,665603.5416,POINT (181469.72598957104 665603.5415673262)
50,511011,Shut-S,181469.726,665603.5416,POINT (181469.72598957104 665603.5415673262)
51,511012,Red-N,181114.701,665511.168,POINT (181114.701 665511.1680000001)
52,511012,Red-S,181114.701,665511.168,POINT (181114.701 665511.1680000001)
53,511012,Red2-N,181114.701,665511.168,POINT (181114.701 665511.1680000001)
54,511012,Red2-S,181114.701,665511.168,POINT (181114.701 665511.1680000001)
55,511012,Shut-N,181114.701,665511.168,POINT (181114.701 665511.1680000001)
56,511012,Shut-S,181114.701,665511.168,POINT (181114.701 665511.1680000001)
57,511013,Red-N,180528.702,664934.157,POINT (180528.702 664934.157)
58,511013,Red-S,180528.702,664934.157,POINT (180528.702 664934.157)
59,511013,Red2-N,180528.702,664934.157,POINT (180528.702 664934.157)
60,511013,Red2-S,180528.702,664934.157,POINT (180528.702 664934.157)
61,511013,Shut-N,180528.702,664934.157,POINT (180528.702 664934.157)
62,511013,Shut-S,180528.702,664934.157,POINT (180528.702 664934.157)
63,511014,Red-N,180270.096,664258.956,POINT (180270.096 664258.9560000001)
64,511014,Red-S,180270.096,664258.956,POINT (180270.096 664258.9560000001)
65,511014,Red2-N,180270.096,664258.956,POINT (180270.096 664258.9560000001)
66,511014,Red2-S,180270.096,664258.956,POINT (180270.096 664258.9560000001)
67,511014,Shut-N,180270.096,664258.956,POINT (180270.096 664258.9560000001)
68,511014,Shut-S,180270.096,664258.956,POINT (180270.096 664258.9560000001)
69,511015,Red-N,179798.646,663787.322,POINT (179798.646 663787.322)
70,511015,Red-S,179798.646,663787.322,POINT (179798.646 663787.322)
71,511015,Red2-N,179798.646,663787.322,POINT (179798.646 663787.322)
72,511015,Red2-S,179798.646,663787.322,POINT (179798.646 663787.322)
73,511015,Shut-N,179798.646,663787.322,POINT (179798.646 663787.322)
74,511015,Shut-S,179798.646,663787.322,POINT (179798.646 663787.322)
75,511016,Red-N,178897.706,663326.155,POINT (178897.706 663326.155)
76,511016,Red-S,178897.706,663326.155,POINT (178897.706 663326.155)
77,511016,Red2-N,178897.706,663326.155,POINT (178897.706 663326.155)
78,511016,Red2-S,178897.706,663326.155,POINT (178897.706 663326.155)
79,511016,Shut-N,178897.706,663326.155,POINT (178897.706 663326.155)
80,511016,Shut-S,178897.706,663326.155,POINT (178897.706 663326.155)
81,511017,Red-N,177902.711,662910.17,POINT (177902.711 662910.170000001)
82,511017,Red-S,177902.711,662910.17,POINT (177902.711 662910.170000001)
83,511017,Red2-N,177902.711,662910.17,POINT (177902.711 662910.170000001)
84,511017,Red2-S,177902.711,662910.17,POINT (177902.711 662910.170000001)
85,511017,Shut-N,177902.711,662910.17,POINT (177902.711 662910.170000001)
86,511018,Red-N,177524.712,662650.161,POINT (177524.71200000003 662650.1610000011)
87,511018,Red-S,177524.712,662650.161,POINT (177524.71200000003 662650.1610000011)
88,511018,Red2-N,177524.712,662650.161,POINT (177524.71200000003 662650.1610000011)
89,511018,Red2-S,177524.712,662650.161,POINT (177524.71200000003 662650.1610000011)
90,511019,Red-N,177465.707,662072.158,POINT (177465.70700000002 662072.158)
91,511019,Red-S,177465.707,662072.158,POINT (177465.70700000002 662072.158)
92,511019,Red2-N,177465.707,662072.158,POINT (177465.70700000002 662072.158)
93,511019,Red2-S,177465.707,662072.158,POINT (177465.70700000002 662072.158)
94,511020,Red-N,177367.707,661481.154,POINT (177367.70700000002 661481.1539999989)
95,511020,Red-S,177367.707,661481.154,POINT (177367.70700000002 661481.1539999989)
96,511020,Red2-N,177367.707,661481.154,POINT (177367.70700000002 661481.1539999989)
97,511020,Red2-S,177367.707,661481.154,POINT (177367.70700000002 661481.1539999989)
98,511021,Red-N,177247.704,661051.162,POINT (177247.703999999 661051.162)
99,511021,Red-S,177247.704,661051.162,POINT (177247.703999999 661051.162)
100,511021,Red2-N,177247.704,661051.162,POINT (177247.703999999 661051.162)
101,511021,Red2-S,177247.704,661051.162,POINT (177247.703999999 661051.162)
