Line_ModelName,Mode_Planned,Line_Name,Line_Description,Area
brt042,BRT,BRT 4,נצרת-עפולה,Haifa
brt051,BRT,BRT 5,חדרה-באקה אל גרבייה,Haifa
brt052,BRT,BRT 5,באקה אל גרבייה-חדרה,Haifa
brt061,BRT,BRT 6,אור עקיבא-חדרה,Haifa
brt062,BRT,BRT 6,חדרה-אור עקיבא,Haifa
Light-Blue_S,LRT,תכלת,יבנה מערב-רחובות,Ashdod-ashkelon
Light-Blue_N,LRT,תכלת,רחובות-יבנה מערב,Ashdod-ashkelon
Turquoise_N,LRT,טורקיז,יבנה מזרח-רחובות,Ashdod-ashkelon
Turquoise_S,LRT,טורקיז,רחובות-יבנה מזרח,Ashdod-ashkelon
BRT_Blue_E,BRT,כחול,אשקלון-קרית גת (כחול),Ashdod-ashkelon
BRT_Blue_W,BRT,כחול,קרית גת-אשקלון (כחול),Ashdod-ashkelon
BRT_Pink_E,BRT,ורוד,אשקלון-קרית גת (ורוד),Ashdod-ashkelon
BRT_Pink_W,BRT,ורוד,קרית גת-אשקלון (ורוד),Ashdod-ashkelon
Orange_N,LRT,כתום,אשקלון-אשדוד (כתום),Ashdod-ashkelon
Orange_S,LRT,כתום,אשדוד-אשקלון (כתום),Ashdod-ashkelon
RedN,LRT,אדום,אשקלון-אשדוד (אדום),Ashdod-ashkelon
RedS,LRT,אדום,אשדוד-אשקלון (אדום),Ashdod-ashkelon
Yelw-N,BRT,קו צהוב,רצועת הנופש-צומת חולון,Tel Aviv
Yelw-S,BRT,קו צהוב,צומת חולון-רצועת הנופש,Tel Aviv
BBEld1,BRT,"אלעד-פ""ת","אלעד-פ""ת",Tel Aviv
BBEld2,BRT,"אלעד-פ""ת","פ""ת-אלעד",Tel Aviv
RG-RH1,BRT,"כפר קאסם-ר""ג","כפר קאסם-ר""ג",Tel Aviv
RH-RG1,BRT,"כפר קאסם-ר""ג","ר""ג-כפר קאסם",Tel Aviv
RG-RH2,BRT,ראש העין-רמת גן,ראש העין-רמת גן,Tel Aviv
RH-RG2,BRT,ראש העין-רמת גן,רמת גן-ראש העין,Tel Aviv
BRT-1,BRT,"אריאל-כפר קאסם-פ""ת","כפר קאסם-פ""ת",Tel Aviv
BRT-2,BRT,"אריאל-כפר קאסם-פ""ת","פ""ת-כפר קאסם",Tel Aviv
Red-N,LRT,קו אדום 1,"ראשל""צ-פ""ת",Tel Aviv
Red-S,LRT,קו אדום 1,"פ""ת-ראשל""צ",Tel Aviv
Red2-N,LRT,קו אדום 2,"ראשל""צ-פ""ת (קרית אריה)",Tel Aviv
Red2-S,LRT,קו אדום 2,"פ""ת (קרית אריה)-ראשל""צ",Tel Aviv
Shut-N,LRT,קו אדום 3,"ת""א-פ""ת",Tel Aviv
Shut-S,LRT,קו אדום 3,"פ""ת-ת""א",Tel Aviv
Grn1-N,LRT,קו ירוק 1,"ראשל""צ-עתידים",Tel Aviv
Grn1-S,LRT,קו ירוק 1,"עתידים-ראשל""צ",Tel Aviv
Grn2-N,LRT,קו ירוק 2,חולון-הרצליה,Tel Aviv
Grn2-S,LRT,קו ירוק 2,הרצליה-חולון,Tel Aviv
Grn3-N,LRT,קו ירוק 3,"חולון-אונ' ת""א",Tel Aviv
Grn3-S,LRT,קו ירוק 3,"אונ' ת""א-חולון",Tel Aviv
Mgt1-E,LRT,קו סגול 1,בר אילן-סבידור,Tel Aviv
Mgt1-W,LRT,קו סגול 1,סבידור-בר אילן,Tel Aviv
Mgt2-E,LRT,קו סגול 2,יהוד-סבידור,Tel Aviv
Mgt2-W,LRT,קו סגול 2,סבידור-יהוד,Tel Aviv
Mgt3-E,LRT,קו סגול 3,יהוד-אלנבי,Tel Aviv
Mgt3-W,LRT,קו סגול 3,אלנבי-יהוד,Tel Aviv
