node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
400080,7,28,0.27942,0.020388,0.001253,0.000114,181088.2612,665672.0736,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_2_1, rail_2_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2, rail_8_1, rail_8_2, rail_9_1, rail_9_2","HighSpeed Rail, Interurban Rail, Suburban Rail",8,0.692979
400018,4,28,0.271741,0.019995,0.001294,0.000794,182239.4829,671394.5234,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_2_1, rail_2_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2, rail_8_1, rail_8_2, rail_9_1, rail_9_2","HighSpeed Rail, Interurban Rail, Suburban Rail",8,0.641199
400110,7,22,0.208355,0.02023,0.00134,8e-06,179815.0419,662396.4211,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2","Interurban Rail, Suburban Rail",7,0.633811
31603,8,20,0.376058,0.012214,0.001173,0.006578,196306.6781,744335.8519,"rail_10_1, rail_10_2, rail_1_1, rail_1_2, rail_2_1, rail_2_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2, rail_6_1, rail_6_2, rail_7_1, rail_7_2, rail_8_1, rail_8_2, rail_9_1, rail_9_2","HighSpeed Rail, Interurban Rail, Suburban Rail",8,0.616798
1019,11,10,0.097354,0.011798,0.000695,0.287423,201184.3105,745418.9393,"R321-2, R323-1, R323-2, R324-1, R324-2, R325-1, R325-2, R327-2, R328-2, R330-1",BRT,4,0.561476
400060,7,22,0.097814,0.019793,0.001128,0.000128,182891.0945,674534.0991,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2","Interurban Rail, Suburban Rail",7,0.55402
400090,4,22,0.195611,0.020259,0.001082,1.6e-05,180611.8557,664530.8005,"rail_10_1, rail_10_2, rail_11_1, rail_11_2, rail_12_1, rail_12_2, rail_14_1, rail_14_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_1_1, rail_1_2, rail_20_1, rail_20_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2","Interurban Rail, Suburban Rail",7,0.546058
36308,11,6,0.000383,0.011778,0.000888,0.325215,201369.339,745505.189,"m0110a, m0120a, m0210a, m0610a, m0710a, m0910a",BRT,4,0.537091
36634,10,5,0.001654,0.011795,0.000837,0.299212,201183.5296,745444.3922,"m0310a, m0320a, m0510a, m0520a, m0820a",BRT,4,0.495277
400320,8,14,0.052517,0.018527,0.001123,1e-05,188484.2317,650491.5267,"rail_12_1, rail_12_2, rail_15_1, rail_15_2, rail_16_1, rail_16_2, rail_17_1, rail_17_2, rail_3_1, rail_3_2, rail_4_1, rail_4_2, rail_5_1, rail_5_2","Interurban Rail, Suburban Rail",7,0.488219
