node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
525322,3,2,0.002236,0.122168,0.000767,0.0,181576.5133,674642.1474,"Hz-KS1, Hz-KS2",BRT,4,0.270735
511068,4,2,0.002118,0.106243,0.000601,0.0,179291.6713,644123.2962,"L1-N, L1-S",LRT,5,0.270734
511266,3,2,0.006312,0.120736,0.000548,0.0,185794.5503,667400.4493,"LRT-L1, LRT-L2",LRT,5,0.270565
51152,4,4,0.010029,0.084443,0.000737,0.0,221324.7813,630656.0849,"LRT61, LRT62, LRT71, LRT72",LRT,5,0.270403
513057,2,4,0.005016,0.113569,0.00067,0.0,188879.945,659489.577,"Mgt2-E, Mgt2-W, Mgt3-E, Mgt3-W",LRT,5,0.270392
512190,3,4,0.025676,0.092123,0.000732,0.0,167139.0972,632577.3297,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.27026
516018,2,4,0.004006,0.116672,0.000633,0.0,179048.9385,653616.2646,"ART1-1, ART1-2, ART2-1, ART2-2",LRT,5,0.270039
400021,2,4,0.033868,0.115055,0.000342,2.8e-05,187341.7287,686894.0381,"rail_11_1, rail_11_2, rail_14_1, rail_14_2",Suburban Rail,6,0.270018
36318,5,5,0.000791,0.07995,0.000619,0.05708,201198.4787,745867.3194,"m0120a, m0220a, m0610a, m0720a, m0910a",BRT,4,0.269968
34082,5,4,0.000591,0.080809,0.000645,0.006094,200953.2653,746297.0227,"lrt03, lrt04, lrt07, lrt08",LRT,5,0.269899
511130,2,4,0.001501,0.098867,0.000851,0.0,188923.3588,692318.9651,"LRT131, LRT132, LRT141, LRT142","BRT, LRT",5,0.269763
512034,2,3,0.004705,0.123006,0.000602,0.0,178940.11,656234.053,"Grn1-N, Grn1-S, Grn3-N",LRT,5,0.269747
34011,4,4,0.099073,0.07364,0.000599,2.1e-05,210978.2596,747241.5994,"lrt01, lrt02, lrt03, lrt04",LRT,5,0.269717
511267,3,2,0.00739,0.122481,0.000515,0.0,185500.2471,664874.431,"LRT-L1, LRT-L2",LRT,5,0.26966
516020,2,4,0.003823,0.116484,0.000631,0.0,178798.104,653171.6464,"ART1-1, ART1-2, ART2-1, ART2-2",LRT,5,0.269553
51056,4,6,0.000629,0.080328,0.000707,1e-06,215238.824,629378.6201,"LRT11, LRT12, LRT21, LRT22, LRT81, LRT82",LRT,5,0.269545
515026,4,2,0.002693,0.119343,0.000654,0.0,181260.3448,652398.1122,"BRT1-1, BRT1-2",BRT,4,0.269534
516021,2,4,0.003753,0.116379,0.000629,0.0,179277.9255,652935.5414,"ART1-1, ART1-2, ART2-1, ART2-2",LRT,5,0.269202
51010,3,5,0.027339,0.083578,0.000769,0.0,222068.2869,634041.8656,"LRT10, LRT11, LRT12, LRT51, LRT52",LRT,5,0.269144
511004,2,2,0.023194,0.115738,0.000676,0.0,188048.661,666473.113,"Red-N, Red-S",LRT,5,0.268909
51110,3,6,0.003648,0.081356,0.000812,0.0,217902.9481,628912.5213,"LRT31, LRT32, LRT71, LRT72, LRT81, LRT82",LRT,5,0.26882
36176,6,4,0.001576,0.080548,0.000747,2e-05,196331.4371,747556.6651,"m0110a, m0120a, m0710a, m0720a",BRT,4,0.26855
512081,3,2,0.002552,0.10287,0.000753,0.0,175259.6669,639864.7798,"Turquoise_N, Turquoise_S",LRT,5,0.268488
521080,3,2,0.008031,0.122651,0.000277,1e-06,188679.0952,652736.7345,"M1-LOD-KS, Yelw-N","BRT, Metro",6,0.268381
51014,4,5,0.0038,0.084807,0.000682,0.0,221673.3835,632192.2709,"LRT10, LRT11, LRT12, LRT31, LRT32",LRT,5,0.268369
51034,4,6,0.000629,0.080328,0.000696,1e-06,215238.824,629378.6201,"LRT11, LRT12, LRT21, LRT22, LRT81, LRT82",LRT,5,0.268349
511247,2,4,0.005268,0.112925,0.000657,0.0,186945.0934,684866.7012,"LRT121, LRT122, LRT131, LRT132",LRT,5,0.268273
