node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
1019,11,10,0.006655,0.075507,0.000781,0.287358,201184.3105,745418.9393,"R321-2, R323-1, R323-2, R324-1, R324-2, R325-1, R325-2, R327-2, R328-2, R330-1",BRT,4,0.646056
513023,4,8,0.078209,0.100881,0.001364,0.0,184599.518,662690.276,"LRT-L1, LRT-L2, Mgt1-E, Mgt1-W, Mgt2-E, Mgt2-W, Mgt3-E, Mgt3-W",LRT,5,0.630286
36308,11,6,0.000712,0.075371,0.000997,0.325307,201369.339,745505.189,"m0110a, m0120a, m0210a, m0610a, m0710a, m0910a",BRT,4,0.623735
511110,5,5,0.102155,0.088348,0.00102,0.0,175583.599,640617.0944,"L1-N, L1-S, L2-N, L2-S, LRT-L2",LRT,5,0.586184
36634,10,5,0.001653,0.075301,0.000941,0.299309,201183.5296,745444.3922,"m0310a, m0320a, m0510a, m0520a, m0820a",BRT,4,0.580757
511051,4,4,0.101894,0.089463,0.001086,0.0,176186.2229,641890.5415,"L2-N, L2-S, LRT-L1, LRT-L2",LRT,5,0.566606
511100,6,4,0.094836,0.088918,0.000886,0.0,175886.0834,641276.3719,"L2-N, L2-S, LRT-L1, LRT-L2",LRT,5,0.565412
36368,8,11,0.002171,0.066052,0.001684,0.000117,198885.1712,748200.4189,"m0110a, m0120a, m0210a, m0220a, m0610a, m0620a, m0710a, m0720a, m0810a, m0910a, m0920a",BRT,4,0.558717
511273,6,2,0.10688,0.103379,0.000678,1e-06,180046.5489,652653.9868,"LRT-L1, LRT-L2",LRT,5,0.5559
36404,10,3,0.00369,0.075936,0.000717,0.303746,201356.1211,745266.9645,"m0810a, m0910a, m0920a",BRT,4,0.538473
36301,6,10,0.00581,0.077344,0.001348,0.067572,202098.7898,744948.881,"m0110a, m0120a, m0210a, m0220a, m0310a, m0320a, m0620a, m0710a, m0720a, m0820a",BRT,4,0.534987
36632,10,5,0.002187,0.076558,0.000872,0.204445,201601.2384,745129.1874,"m0310a, m0320a, m0510a, m0520a, m0820a",BRT,4,0.534859
36309,9,5,0.000872,0.075309,0.000777,0.244668,201437.1206,745572.6645,"m0120a, m0220a, m0610a, m0720a, m0910a",BRT,4,0.525418
511076,3,4,0.099364,0.087077,0.000818,0.0,175123.2638,639831.98,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.519335
51142,5,8,0.00207,0.089745,0.001268,0.0,218940.3621,628862.974,"LRT31, LRT32, LRT41, LRT42, LRT71, LRT72, LRT81, LRT82",LRT,5,0.517599
512028,3,6,0.054387,0.099325,0.000969,0.0,179037.522,658933.547,"Grn1-N, Grn1-S, Grn2-N, Grn2-S, Grn3-N, Grn3-S",LRT,5,0.517473
512068,3,6,0.052574,0.089625,0.000962,0.0,179973.5393,668900.7325,"Grn1-N, Grn1-S, Grn2-N, Grn2-S, Grn3-N, Grn3-S",LRT,5,0.50051
1016,5,10,0.020061,0.081695,0.001171,0.001493,205605.0931,745589.7711,"R321-1, R321-2, R322-1, R322-2, R323-1, R323-2, R329-1, R329-2, R331-1, R331-2",BRT,4,0.499633
512026,3,6,0.053597,0.098989,0.000786,0.0,179203.599,660547.149,"Grn1-N, Grn1-S, Grn2-N, Grn2-S, Grn3-N, Grn3-S",LRT,5,0.498094
511077,2,4,0.098976,0.085606,0.000767,0.0,174120.9508,639466.8967,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.497482
51103,7,5,0.002068,0.102518,0.000974,0.0,219097.941,632458.8069,"LRT31, LRT32, LRT41, LRT42, LRT9",LRT,5,0.496734
512055,3,6,0.055125,0.098923,0.000751,0.0,178924.2862,660924.6246,"Grn1-N, Grn1-S, Grn2-N, Grn2-S, Grn3-N, Grn3-S",LRT,5,0.496573
1018,5,12,0.01285,0.077449,0.000776,0.056301,202088.2279,744931.5589,"R321-1, R321-2, R323-1, R323-2, R324-1, R324-2, R327-1, R327-2, R328-1, R328-2, R330-1, R330-2",BRT,4,0.495482
512022,3,6,0.05672,0.098593,0.000711,0.0,179188.538,662907.714,"Grn1-N, Grn1-S, Grn2-N, Grn2-S, Grn3-N, Grn3-S",LRT,5,0.494384
36633,10,2,0.000709,0.075958,0.000432,0.303746,201354.926,745276.0812,"m0820a, m0910a",BRT,4,0.493755
51136,4,8,0.001529,0.089748,0.001175,0.0,218940.3621,628862.974,"LRT31, LRT32, LRT41, LRT42, LRT71, LRT72, LRT81, LRT82",LRT,5,0.493457
511078,2,4,0.098585,0.084488,0.00074,0.0,173433.1145,639934.3115,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.492715
512105,4,4,0.077767,0.069704,0.000941,0.0,166105.7551,633159.4221,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.491917
512027,2,6,0.053633,0.099208,0.000853,0.0,178831.666,659366.011,"Grn1-N, Grn1-S, Grn2-N, Grn2-S, Grn3-N, Grn3-S",LRT,5,0.490628
36001,10,2,0.000336,0.075376,0.000417,0.301099,201356.4783,745488.7394,"m0120a, m0920a",BRT,4,0.489747
511043,2,4,0.098192,0.083857,0.000724,0.0,172965.1603,639846.435,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.48972
511046,3,4,0.096222,0.076539,0.000705,0.0,168996.4743,637419.2035,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.489109
513024,3,6,0.02467,0.098895,0.001083,0.0,185197.1174,662116.2539,"Mgt1-E, Mgt1-W, Mgt2-E, Mgt2-W, Mgt3-E, Mgt3-W",LRT,5,0.488192
511008,3,6,0.029864,0.092546,0.001104,0.0,184970.063,666692.183,"Red-N, Red-S, Red2-N, Red2-S, Shut-N, Shut-S",LRT,5,0.488147
