node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
36012,5,1,0.003835,0.066245,0.000399,0.007156,201901.9118,744550.6926,m0810a,BRT,4,0.232811
467907,2,4,5.4e-05,0.016903,0.000755,0.0,178251.4954,571851.6665,"4.4_Bee'rSheva-Rahat_Main, 4.4_Rahat-Bee'rSheva_Main, 4.5_Bee'rSheva-Rahat, 4.5_Rahat-Bee'rSheva",LRT,5,0.232373
512281,2,2,0.000801,0.050235,0.000598,0.0,157897.1154,618146.9126,"RedN, RedS",LRT,5,0.232319
525589,2,2,0.002316,0.070715,0.000678,0.0,196806.7968,669377.0722,"RG-RH1, RH-RG1",BRT,4,0.232101
36640,3,2,0.002027,0.068122,0.000536,0.00893,200559.3066,745937.9569,"m0310a, m0510a",BRT,4,0.23208
512065,1,1,0.0,0.098353,0.000295,0.0,185542.222,669410.353,Grn1-S,LRT,5,0.232042
36179,5,2,5e-06,0.057799,0.000445,2.7e-05,197019.1549,748357.3019,"m0110a, m0710a",BRT,4,0.231976
36534,3,2,0.001093,0.060703,0.000672,0.0,207829.2116,751303.217,"m0310a, m0320a",BRT,4,0.231767
525594,2,2,0.002316,0.070338,0.000678,0.0,197443.1289,667144.5909,"RG-RH2, RH-RG2",BRT,4,0.231637
500100,2,2,0.024129,0.053091,0.000601,0.0,163099.5413,620623.9154,"BRT_Blue_E, BRT_Blue_W",BRT,4,0.231205
467248,2,4,0.000326,0.019286,0.000711,0.0,182379.3839,573614.0194,"4.1_Arad-BS, 4.1_BS-Arad, 4.2_LRT_BRS-Shoket, 4.2_LRT_Shoket-BRS",LRT,5,0.231154
36537,3,2,0.000693,0.059576,0.000682,0.0,208140.0365,751819.4788,"m0310a, m0320a",BRT,4,0.230964
525483,2,1,0.0084,0.074599,0.000666,0.0,171324.6092,637616.9238,RH-GY1,BRT,4,0.230757
467950,2,4,0.000627,0.020028,0.000693,0.0,180740.4533,575014.6586,"4.4_Bee'rSheva-Rahat_Main, 4.4_Rahat-Bee'rSheva_Main, 4.5_Bee'rSheva-Rahat, 4.5_Rahat-Bee'rSheva",LRT,5,0.230624
1012,4,2,0.00091,0.066185,0.000457,2.1e-05,206498.825,748976.2029,"R323-1, R323-2",BRT,4,0.230434
36152,5,1,0.006722,0.057405,0.000474,0.000142,196844.9924,744015.0946,m0610a,BRT,4,0.230388
36872,2,2,0.014427,0.057194,0.000668,0.0,217315.2793,748418.6122,"brt011, brt012",BRT,4,0.230361
525484,2,1,0.008286,0.074273,0.000667,0.0,172295.3758,636821.4684,RH-GY1,BRT,4,0.230252
36144,5,2,0.000889,0.062768,0.000357,0.000138,198869.3532,748448.1122,"m0210a, m0920a",BRT,4,0.230204
500094,3,2,0.005904,0.054236,0.000669,0.0,160764.7257,620362.4476,"BRT_Blue_E, BRT_Blue_W",BRT,4,0.229883
